,Unnamed: 0,Text,cleaned_text,len
2,2,From that raw material arose the glories of natural selection.,raw material arose glories natural selection ,62
6,6,"It permits the manufacture of all manner of things which used to be hard, even impossible, to make: pharmaceuticals, fuels, fabrics, foods and fragrances can all be built molecule by molecule.",permits manufacture manner things used hard even impossible make pharmaceuticals fuels fabrics foods fragrances built molecule molecule ,186
12,12,"But look back through history, and humanity’s relations with the living world have seen three great transformations: the exploitation of fossil fuels, the globalisation of the world’s ecosystems after the European conquest of the Americas, and the domestication of crops and animals at the dawn of agriculture.",look back history humanity relations living world seen three great transformations exploitation fossil fuels globalisation world ecosystems european conquest americas domestication crops animals dawn agriculture ,306
13,13,"All brought prosperity and progress, but with damaging side-effects.",brought prosperity progress damaging side effects ,67
17,17,"But much wilderness has been lost, and carbon atoms which last saw the atmosphere hundreds of millions of years ago have strengthened the planet’s greenhouse effect to a degree that may prove catastrophic.",much wilderness lost carbon atoms last saw atmosphere hundreds millions years ago strengthened planet greenhouse effect degree may prove catastrophic ,204
23,23,"Horses, cattle and cotton were introduced to the Americas; maize, potatoes, chilli and tobacco to Europe, Africa and Asia.",horses cattle cotton introduced americas maize potatoes chilli tobacco europe africa asia ,117
26,26,"Measles, smallpox and other pathogens ran through the New World like a forest fire, claiming tens of millions of lives.",measles smallpox pathogens ran new world like forest fire claiming tens millions lives ,117
30,30,And armies already have lots of ways to flatten cities and kill people in large numbers.,armies already lots ways flatten cities kill people large numbers ,88
31,31,"When it comes to mass destruction, a disease is a poor substitute for a nuke.",comes mass destruction disease poor substitute nuke ,76
34,34,"Haphazardly, then purposefully, humans bred cereals to be more bountiful, livestock to be more docile, dogs more obedient and cats more companionable (the last a partial success, at best).",haphazardly purposefully humans bred cereals bountiful livestock docile dogs obedient cats companionable last partial success best ,181
38,38,"In future, they may extend further; what should one make of people with the upper-body strength of gorillas, or minds impervious to sorrow?",future may extend one make people upper body strength gorillas minds impervious sorrow ,136
41,41,"This time, there will be foresight.",time foresight ,34
45,45,It might defeat it.,might defeat ,19
47,47,"IN A former leatherworks just off Euston Road in London, a hopeful firm is starting up.",former leatherworks euston road london hopeful firm starting ,86
54,54,But BenevolentAI’s version of it is a form of machine learning that can draw inferences about what it has learned.,benevolentai version form machine learning draw inferences learned ,114
68,68,"A century ago someone could still, with effort, be an expert in most fields of medicine.",century ago someone could still effort expert fields medicine ,86
71,71,"It can, in weeks, elucidate salient links and offer new ideas that would take lifetimes of human endeavour to come up with.",weeks elucidate salient links offer new ideas would take lifetimes human endeavour come ,121
72,72,It can also weigh up the evidence for its hypotheses in an even-handed manner.,also weigh evidence hypotheses even handed manner ,78
76,76,One is bang in the middle of what he and his team are doing already.,one bang middle team already ,68
84,84,This is tedious and long-winded (it can take up to four hours).,tedious long winded take four hours ,61
106,106,"As Isaac Newton put it, “If I have seen further, it is by standing on the shoulders of giants.” If the brains of those giants happen to be made of silicon chips, so be it.",isaac newton put seen standing shoulders giants brains giants happen made silicon chips ,165
108,108,It is also a profound philosophical inquiry.,also profound philosophical inquiry ,44
109,109,One answer is around 37trn.,one answer around trn ,25
128,128,The spores grow thin tendrils called hyphae that allow them to digest wood.,spores grow thin tendrils called hyphae allow digest wood ,75
144,144,"They pick up others during the messy process of birth, and more from their mother’s milk.",pick others messy process birth mother milk ,88
160,160,"These critters, which also rely on Buchnera for their supply of amino acids, kill the larvae of parasitic wasps that would otherwise consume an aphid alive.",critters also rely buchnera supply amino acids kill larvae parasitic wasps would otherwise consume aphid alive ,154
164,164,Both are the distant descendants of formerly free-living bacteria that began their relationship with the cells they now call home over a billion years ago.,distant descendants formerly free living bacteria began relationship cells call home billion years ago ,155
202,203,Cattle and other livestock are also coming under scrutiny.,cattle livestock also coming scrutiny ,58
219,220,Whether it will lead somewhere fruitful remains to be seen.,whether lead somewhere fruitful remains seen ,59
220,221,"But the very fact that it is happening at all is, surely, testament to an idea whose hour has come.",fact happening surely testament idea whose hour come ,97
221,222,■Curious about the world?,curious world ,25
223,224,LIVING creatures are jolly useful.,living creatures jolly useful ,34
224,225,"Farmers rear animals and then harvest their flesh, eggs and milk for humans to eat.",farmers rear animals harvest flesh eggs milk humans eat ,82
248,249,That shutdown cost hundreds of millions of dollars.,shutdown cost hundreds millions dollars ,51
250,251,"Growing corn (maize) as a feedstock to make ethanol occupies land that could otherwise be used for growing food, for example.",growing corn maize feedstock make ethanol occupies land could otherwise used growing food example ,122
253,254,Animals have a capacity for suffering that the cellular machinery from which they are built does not.,animals capacity suffering cellular machinery built ,101
255,256,"But humans still rely on animals for food, fabrics and a few medicines.",humans still rely animals food fabrics medicines ,70
256,257,"Snake farms, crude and expensive, produce antivenom.",snake farms crude expensive produce antivenom ,50
257,258,"Factory farming of pigs, chickens and cows has many opponents.",factory farming pigs chickens cows many opponents ,61
258,259,"Animals’ skins and coats, used to make leather and fur, are often the most valuable part of their farmed carcasses.",animals skins coats used make leather fur often valuable part farmed carcasses ,112
262,263,But they may not always need living things to produce them.,may always need living things produce ,59
263,264,"A broken brain, hidden inside a skull, is harder to diagnose than a broken leg.",broken brain hidden inside skull harder diagnose broken leg ,77
264,265,The fact that there is somebody inside the skull to tell doctors how they feel might seem to offer a way round this.,fact somebody inside skull tell doctors feel might seem offer way round ,116
266,267,Definitions of mental diseases are vague.,definitions mental diseases vague ,41
288,289,"As Paul Berns, head of the firm and of arch, a venture-capital firm which is one of Neumora’s investors, puts it, “We can’t treat everybody the same way.",paul berns head firm arch venture capital firm one neumora investors puts treat everybody way ,148
352,353,But not everyone is convinced.,everyone convinced ,30
363,364,"And in many ways, disagreement in the field about the right approach is to be welcomed.",many ways disagreement field right approach welcomed ,86
364,365,The failures of the past came from too much groupthink and a focus on the same narrow idea.,failures past came much groupthink focus narrow idea ,91
365,366,A thousand flowers are blooming.,thousand flowers blooming ,32
366,367,Some of them will wither and die.,wither die ,33
373,374,"They have therefore become ubiquitous in everything from mobile phones, tablets and laptops to electric cars.",therefore become ubiquitous everything mobile phones tablets laptops electric cars ,108
384,385,But when oil prices fell back the company lost interest.,oil prices fell back company lost interest ,56
395,396,"One was for a finding that is, by astronomical standards, quite close by—a planet going around a star a mere 50 light-years distant.",one finding astronomical standards quite close planet going around star mere light years distant ,127
398,399,"It was a gaseous ball twice the size of Jupiter and was going around a star called 51 Pegasi, at a distance of about 8m kilometres—a twentieth of the distance from Earth to the sun.",gaseous ball twice size jupiter going around star called pegasi distance kilometres twentieth distance earth sun ,176
401,402,"Until then they had thought that such large, Jupiter-like planets could form only far away from their host stars.That discovery of 51 Pegasi b, as this planet is now known, launched the field of exoplanet astronomy.",thought large jupiter like planets could form far away host stars discovery pegasi b planet known launched field exoplanet astronomy ,209
404,405,"As a planet orbits its star, that star will also move slightly, as it is pulled around by the gravity of the planet (see diagram 2).",planet orbits star star also move slightly pulled around gravity planet see diagram ,126
