,Unnamed: 0,Text,cleaned_text,len
12,12,"But look back through history, and humanity’s relations with the living world have seen three great transformations: the exploitation of fossil fuels, the globalisation of the world’s ecosystems after the European conquest of the Americas, and the domestication of crops and animals at the dawn of agriculture.",but look back through history and humanity s relations with the living world have seen three great transformations the exploitation of fossil fuels the globalisation of the world s ecosystems after the european conquest of the americas and the domestication of crops and animals at the dawn of agriculture ,306
13,13,"All brought prosperity and progress, but with damaging side-effects.",all brought prosperity and progress but with damaging side effects ,67
17,17,"But much wilderness has been lost, and carbon atoms which last saw the atmosphere hundreds of millions of years ago have strengthened the planet’s greenhouse effect to a degree that may prove catastrophic.",but much wilderness has been lost and carbon atoms which last saw the atmosphere hundreds of millions of years ago have strengthened the planet s greenhouse effect to a degree that may prove catastrophic ,204
20,20,This week Burger King introduced into some of its restaurants a beefless Whopper that gets its meatiness from an engineered plant protein; such innovations could greatly ease a shift to less environmentally taxing diets.,this week burger king introduced into some of its restaurants a beefless whopper that gets its meatiness from an engineered plant protein such innovations could greatly ease a shift to less environmentally taxing diets ,219
23,23,"Horses, cattle and cotton were introduced to the Americas; maize, potatoes, chilli and tobacco to Europe, Africa and Asia.",horses cattle and cotton were introduced to the americas maize potatoes chilli and tobacco to europe africa and asia ,117
26,26,"Measles, smallpox and other pathogens ran through the New World like a forest fire, claiming tens of millions of lives.",measles smallpox and other pathogens ran through the new world like a forest fire claiming tens of millions of lives ,117
30,30,And armies already have lots of ways to flatten cities and kill people in large numbers.,and armies already have lots of ways to flatten cities and kill people in large numbers ,88
34,34,"Haphazardly, then purposefully, humans bred cereals to be more bountiful, livestock to be more docile, dogs more obedient and cats more companionable (the last a partial success, at best).",haphazardly then purposefully humans bred cereals to be more bountiful livestock to be more docile dogs more obedient and cats more companionable the last a partial success at best ,181
38,38,"In future, they may extend further; what should one make of people with the upper-body strength of gorillas, or minds impervious to sorrow?",in future they may extend further what should one make of people with the upper body strength of gorillas or minds impervious to sorrow ,136
41,41,"This time, there will be foresight.",this time there will be foresight ,34
44,44,It will challenge the human capacity for wisdom and foresight.,it will challenge the human capacity for wisdom and foresight ,62
45,45,It might defeat it.,it might defeat it ,19
74,74,"Such wasted effort besets the best of pharmaceutical firms.For example, Richard Mead, a neuroscientist at the University of Sheffield, in England, says BenevolentAI has given him two ideas for drugs for ALS, a neurodegenerative disease that he works on.",such wasted effort besets the best of pharmaceutical firms for example richard mead a neuroscientist at the university of sheffield in england says benevolentai has given him two ideas for drugs for als a neurodegenerative disease that he works on ,248
76,76,One is bang in the middle of what he and his team are doing already.,one is bang in the middle of what he and his team are doing already ,68
77,77,"To him, this confirms that the artificial intelligence in question is generating good ideas.",to him this confirms that the artificial intelligence in question is generating good ideas ,91
79,79,"Without the AI to prompt them, it is something his team might have ignored—and that, he admits, might in turn be a result of their bias.For now, BenevolentAI is a small actor in the theatre of biology and artificial intelligence.",without the ai to prompt them it is something his team might have ignored and that he admits might in turn be a result of their bias for now benevolentai is a small actor in the theatre of biology and artificial intelligence ,225
84,84,This is tedious and long-winded (it can take up to four hours).,this is tedious and long winded it can take up to four hours ,61
97,97,"The company says it has others in development.For all the grand aspirations of the AI folk, though, there are reasons for caution.",the company says it has others in development for all the grand aspirations of the ai folk though there are reasons for caution ,128
105,105,Those people will then ask the AI to sift the results and make connections.,those people will then ask the ai to sift the results and make connections ,75
106,106,"As Isaac Newton put it, “If I have seen further, it is by standing on the shoulders of giants.” If the brains of those giants happen to be made of silicon chips, so be it.",as isaac newton put it if i have seen further it is by standing on the shoulders of giants if the brains of those giants happen to be made of silicon chips so be it ,165
110,110,"This is the number, in a typical adult weighing 70kg, that trace their descent from the fertilised egg which brought that human into existence.Look at it another way, though, and you arrive at a figure roughly twice as large.",this is the number in a typical adult weighing kg that trace their descent from the fertilised egg which brought that human into existence look at it another way though and you arrive at a figure roughly twice as large ,219
118,118,"And in, too, with a name for these communal critters: holobionts.One believer in this way of thinking is Thomas Bell, head of the Leverhulme Centre for the Holobiont at Imperial College, London, which opened in January.",and in too with a name for these communal critters holobionts one believer in this way of thinking is thomas bell head of the leverhulme centre for the holobiont at imperial college london which opened in january ,213
144,144,"They pick up others during the messy process of birth, and more from their mother’s milk.",they pick up others during the messy process of birth and more from their mother s milk ,88
202,203,Cattle and other livestock are also coming under scrutiny.,cattle and other livestock are also coming under scrutiny ,58
219,220,Whether it will lead somewhere fruitful remains to be seen.,whether it will lead somewhere fruitful remains to be seen ,59
220,221,"But the very fact that it is happening at all is, surely, testament to an idea whose hour has come.",but the very fact that it is happening at all is surely testament to an idea whose hour has come ,97
224,225,"Farmers rear animals and then harvest their flesh, eggs and milk for humans to eat.",farmers rear animals and then harvest their flesh eggs and milk for humans to eat ,82
233,234,It will be the first commercial product made in this way.,it will be the first commercial product made in this way ,57
248,249,That shutdown cost hundreds of millions of dollars.,that shutdown cost hundreds of millions of dollars ,51
258,259,"Animals’ skins and coats, used to make leather and fur, are often the most valuable part of their farmed carcasses.",animals skins and coats used to make leather and fur are often the most valuable part of their farmed carcasses ,112
262,263,But they may not always need living things to produce them.,but they may not always need living things to produce them ,59
264,265,The fact that there is somebody inside the skull to tell doctors how they feel might seem to offer a way round this.,the fact that there is somebody inside the skull to tell doctors how they feel might seem to offer a way round this ,116
275,276,"In America, it is now diagnosed in one in 44 children.",in america it is now diagnosed in one in children ,50
288,289,"As Paul Berns, head of the firm and of arch, a venture-capital firm which is one of Neumora’s investors, puts it, “We can’t treat everybody the same way.",as paul berns head of the firm and of arch a venture capital firm which is one of neumora s investors puts it we can t treat everybody the same way ,148
352,353,But not everyone is convinced.,but not everyone is convinced ,30
365,366,A thousand flowers are blooming.,a thousand flowers are blooming ,32
366,367,Some of them will wither and die.,some of them will wither and die ,33
370,371,"The science awards, though, have a tendency to end up in the hands of those who have made esoteric, if profound, advances rather than practical ones.",the science awards though have a tendency to end up in the hands of those who have made esoteric if profound advances rather than practical ones ,145
384,385,But when oil prices fell back the company lost interest.,but when oil prices fell back the company lost interest ,56
398,399,"It was a gaseous ball twice the size of Jupiter and was going around a star called 51 Pegasi, at a distance of about 8m kilometres—a twentieth of the distance from Earth to the sun.",it was a gaseous ball twice the size of jupiter and was going around a star called pegasi at a distance of about m kilometres a twentieth of the distance from earth to the sun ,176
401,402,"Until then they had thought that such large, Jupiter-like planets could form only far away from their host stars.That discovery of 51 Pegasi b, as this planet is now known, launched the field of exoplanet astronomy.",until then they had thought that such large jupiter like planets could form only far away from their host stars that discovery of pegasi b as this planet is now known launched the field of exoplanet astronomy ,209
405,406,"This will cause the frequency of the starlight arriving at Earth to oscillate (that is, the star will change colour slightly) in the same way that the frequency of an ambulance siren shifts as the vehicle passes by.",this will cause the frequency of the starlight arriving at earth to oscillate that is the star will change colour slightly in the same way that the frequency of an ambulance siren shifts as the vehicle passes by ,212
408,409,"According to Sweden’s Royal Academy of Science, which awards the physics prize, Dr Peebles was the person who, in the 1960s, shifted cosmology from speculation to a rigorous discipline.Until the first decades of the 20th century, astronomers had assumed the universe to be stationary and eternal.",according to sweden s royal academy of science which awards the physics prize dr peebles was the person who in the s shifted cosmology from speculation to a rigorous discipline until the first decades of the th century astronomers had assumed the universe to be stationary and eternal ,285
410,411,"In other words, the universe is expanding.",in other words the universe is expanding ,41
411,412,"Rewind the clock and this means that, at the start of time, now called the Big Bang, the universe would have been incredibly small, hot and dense.Around 400,000 years after the Big Bang it had expanded and cooled enough for light to travel through space unimpeded.",rewind the clock and this means that at the start of time now called the big bang the universe would have been incredibly small hot and dense around years after the big bang it had expanded and cooled enough for light to travel through space unimpeded ,252
412,413,"Astronomers can detect the glow of that first light today but, because its wavelength has been stretched by 13bn years of the expansion of space, it manifests itself not as light but as a glow of microwave radiation that fills the entire sky.",astronomers can detect the glow of that first light today but because its wavelength has been stretched by bn years of the expansion of space it manifests itself not as light but as a glow of microwave radiation that fills the entire sky ,238
417,419,"In many ways the Nobel prizes are a Swedish version of the Oscars—with seriousness substituted for superfice, substance for style, and genuine modesty among the winners for the false sort.Those qualities were certainly to the fore in the award of the prize for physiology or medicine.",in many ways the nobel prizes are a swedish version of the oscars with seriousness substituted for superfice substance for style and genuine modesty among the winners for the false sort those qualities were certainly to the fore in the award of the prize for physiology or medicine ,282
440,442,"These include the healing of wounds, the growth of blood vessels (one reason for the link with tumours, since these need extra blood vessels in order to grow), and the likelihood of heart attacks and strokes.",these include the healing of wounds the growth of blood vessels one reason for the link with tumours since these need extra blood vessels in order to grow and the likelihood of heart attacks and strokes ,203
